041_satoraito,佐藤 頼輝,SATO RAITO,19,B,168,52,フリースタイルダンス、ラップ、ペン回し、ボーイズグループの研究,フリースタイルダンス、ラップ、野球,f,1
042_sanoyudai,佐野 雄大,SANO YUDAI,20,AB,178,58,ゲーム、DIY,モノマネ,f,1
043_shinogayaayumu,篠ヶ谷 歩夢,SHINOGAYA AYUMU,19,A,175,58,カバーダンス,水泳,f,1
044_shinoharamizuki,篠原 瑞希,SHINOHARA MIZUKI,21,B,170,51,検定試験を受けること,歌を歌うこと、ダンス,f,1
045_shimajuliotaichiro,島フリオ太一郎,SHIMA JULIO TAICHIRO,20,A,175,54,楽曲製作,ギター、ダンス,f,1
046_shimizuyuto,清水 裕斗,SHIMIZU YUTO,18,AB,184,69,スポーツ、友達と遊ぶこと,スポーツ,f,1
047_xufengfan,許 豊凡,XU FENGFAN,22,A,176,58,ポケモン対戦バトル、写真、アート鑑賞,日本語・英語・韓国語,f,1
048_takashosuke,髙 昇舗,TAKA SHOSUKE,15,A,170,45,歌、ゲーム,ボーカル：感情系、ダンス：HIPHOP,f,1
049_takatsukahiromu,髙塚 大夢,TAKATSUKA HIROMU,21,O,167,49,生き物の飼育,ボーカル：Rock、楽器：ギターボイスパーカッション、工作,f,1
050_takahashiwataru,髙橋 航大,TAKAHASHI WATARU,20,A,171,53,映画を見ること,サッカー、アクロバット、K-POPのダンスカバー,f,1
051_tagawayusuke,田川 祐輔,TAGAWA YUSUKE,21,A,171,58,ショッピング、ダンス、人間観察,ボーカル(R＆B)、ダンス(HipHop、R＆B)、空手,f,1
052_tajimashogo,田島 将吾,TAJIMA SHOGO,22,A,179,60,散歩、読書、作曲、ドラマ、カフェ,ダンス(HipHop、K-POP)、楽器(ドラム)、ラップ,f,1
053_tawadadaisuke,多和田 大祐,TAWADA DAISUKE,17,A,176,62,K-POPをみる、大食いを見る,親指を曲げる、耳を曲げる,f,1
054_tsunematsunaoki,恒松 尚輝,TSUNEMATSU NAOKI,20,B,169,60,スポーツ、歌うこと、カラオケ,ちょっとだけギターを弾ける、バスケ,f,1
055_tsuboiharuto,坪井 悠斗,TSUBOI HARUTO,19,A,172,63,ダンス、音楽を聴くこと、ご飯を食べる,ダンス、アクロバット,f,1
056_tsurufujiharuto,鶴藤 遥大,TSURUFUJI HARUTO,18,B,176,54,漫画、映画,ダンス：HipHop,f,1
057_tekoeyusei,テコエ 勇聖,TEKOE YUSEI,22,AB,176,64,寝る、難しい会話を聞くこと,スタイルHipHop、アクロバット,f,1
058_teraokoshin,寺尾 香信,TERAO KOSHIN,17,A,169,58,近所を散歩すること,野球、ピアノ、囲碁,f,1
059_dozonokaito,堂園 海翔,DOZONO KAITO,18,A,174,60,スポーツ,ボーカル：バラード、モノマネ,f,1
060_tomizawamisaki,冨澤 岬樹,TOMIZAWA MISAKI,19,?,172,57,空を見る,ダンス(HipHop),f,1
061_naitourenya,内藤 廉哉,NAITOU RENYA,18,AB,173,52,城巡り,変顔、アパレル店員のモノマネ,f,1
062_nakanokaiho,中野 海帆,NAKANO KAIHO,22,O,173,67,ダンス、スケートボード、ピアノ,フィンガーボード、アクロバット,f,1
063_nakanotomohiro,中野 智博,NAKANO TOMOHIRO,19,A,172,60,カラオケ、パルクール、お笑いを見ること,中島みゆきさんの声まね、サッカー、アクロバット,f,1
064_nakamuratoma,仲村 冬馬,NAKAMURA TOMA,22,O,178,65,旅行、食べること,ギターが弾ける,f,1
065_nishihiroto,西 洸人,NISHI HIROTO,23,AB,173,64,ゲーム、アニメ,サッカー、リフティング,f,1
066_nishijimarenta,西島 蓮汰,NISHIJIMA RENTA,17,A,180,60,サッカー、温泉巡り,K-POPダンス、韓国語ラップ,f,1
067_nishiyamatomoki,西山 知輝,NISHIYAMA TOMOKI,22,B,171,57,バスケ、カラオケ、ダーツ,バスケ、モノマネ(ディズニー、志村けんさん),f,1
068_nishiyamatomoki,西山 智樹,NISHIYAMA TOMOKI,20,A,171,54,描画、料理,ダンス：R＆B、HipHop、poppin,f,1
069_nojishogo,野地 章吾,NOJI SHOGO,17,A,168,61,映画鑑賞、音楽,ダンス、歌、瞬間であだ名を付けられる,f,1
070_hashimotohitoru,橋本 瞳瑠,HASHIMOTO HITORU,17,A,173,55,ダンス動画を見ること,krump、アクロバット,f,1
071_hattoriibuki,服部 息吹,HATTORI IBUKI,19,O,176,60,サッカー、ダンスを見ること,笑顔で誰よりも楽しそうに歌い踊ること,f,1
072_hiramotoken,平本 健,HIRAMOTO KEN,16,B,169,48,サッカー、ゲーム,ダンス：R＆B、K-POPラップ：日本のラップ,f,1
073_fukushimareiji,福島 零士,FUKUSHIMA REIJI,22,B,183,68,80年代邦楽、絵を描くこと,どこでも寝られる,f,1
074_fukudaayuta,福田 歩汰,FUKUDA AYUTA,17,O,174,56,音楽鑑賞、ダンス,バスケットボール、お腹で波打ち,f,1
075_fukudashoya,福田 翔也,FUKUDA SHOYA,23,O,166,62,犬とランニング,ヒールを履いてダンスができる,f,1
076_fujitomoki,藤 智樹,FUJI TOMOKI,20,A,172,62,YouTubeを見ること,人を笑顔にするダンス（オールジャンル）,f,1
077_fujisawahibiki,藤沢 響己,FUJISAWA HIBIKI,23,A,183,65,古着屋巡り、YouTubeを見ること,ハンドボール、野球、水泳、テコンドー、嗅覚,f,1
078_fujiharatakumi,藤原 拓海,FUJIHARA TAKUMI,20,A,173,62,スノーボード,ダンス(HipHop)、ジャパネットたかたさんの声マネ,f,1
079_fujimakikyosuke,藤牧 京介,FUJIMAKI KYOSUKE,21,A,168,58,歌うこと、サウナ,歌うこと、野球,f,1
080_fujimotosera,藤本 世羅,FUJIMOTO SERA,21,O,178,61,ゲーム、英語の勉強、YouTube視聴,モノマネ,f,1
081_furueyuto,古江 侑豊,FURUE YUTO,18,O,180,58,フットサル,サッカー,f,1
082_horisota,堀 蒼太,HORI SOTA,21,B,170,58,ダンス、カフェ、温泉巡り,変なイラストを描く,f,1
083_hondahiromu,本多 大夢,HONDA HIROMU,20,B,175,62,ギター、映画鑑賞,バスケ、感情を込めて歌う事,f,1
084_matsudajin,松田 迅,MATSUDA JIN,18,B,171,51,バスケットボール、漫画,ダンス：ロック、工藤新一のモノマネ,f,1
085_matsumotoakihira,松本 旭平,MATSUMOTO AKIHIRA,27,A,182,62,音楽、舞台鑑賞,殺陣,f,1
086_marubayashikenta,丸林 健太　,MARUBAYASHI KENTA,18,A,170,50,ダンス、ラップ、スケボー、UFOキャッチャー,ダンス、ラップ,f,1
087_miurayuki,三浦 由暉,MIURA YUKI,19,O,172,49,映画鑑賞、作詞、脚本を書く,スポーツ,f,1
088_misasagawatenki,三佐々川 天輝,MISASAGAWA TENKI,21,AB,179,58,スキンケア、音楽を聞く、風呂,まつ毛が長くてシャープペンシルが5本のる,f,1
089_miyazakitowa,宮崎 永遠,MIYAZAKI TOWA,18,O,177,58,音楽鑑賞,HIPHOP(New Jack Swing)、R&B、ハウス、その他：ロンバク、バク転,f,1
090_miyashitanorihiko,宮下 紀彦,MIYASHITA NORIHIKO,21,O,167,56,歌、筋トレ、アニメを見る,片手腕立て伏せ、胸筋を動かす、ガチャピンの顔マネ、バドミントン,f,1
091_mukoyamasyogo,向山 翔悟,MUKOYAMA SYOGO,18,A,171,60,ダンス、スノーボード、楽曲製作,ダンス(R&B、HIPHOP)、パンケーキ作り,f,1
093_muramatsukenta,村松 健太,MURAMATSU KENTA,20,O,186,66,イタリア料理,ラップ(Trapミュージック、オールドスクール)、モノマネ、演技,f,1
094_moriihiroaki,森井 洸陽,MORII HIROAKI,21,A,181,65,読書、ファッション、DJ,楽器(エレキギター、エレキベース)、DJ,f,1
095_morisakidaisuke,森崎 大祐,MORISAKI DAISUKE,19,O,176,58,スポーツ、アニメ,ダンス、ラップ、韓国語、ピアノ,f,1
096_yasuerick,安江 律久,YASUE RICK,21,AB,171,53,韓国のアイドルステージを見る,サッカー（幼稚園から高校まで）,f,1
097_yamadahideki,山田 英樹,YAMADA HIDEKI,21,O,164,48,映画鑑賞、ショッピング,ダンス(R&B、HipHop),f,1
098_yamamotoharuki,山本 遥貴,YAMAMOTO HARUKI,17,AB,171,59,グミをいっぱい食べる,歌を歌うこと,f,1
099_yoshiineo,吉井 寧皇,YOSHII NEO,19,A,170,57,読書、ゲーム、アニメ、野球,英語、フランス語、ピアノ,f,1
100_yoshidashoma,吉田 翔馬,YOSHIDA SHOMA,22,B,178,63,ドライブ、妹と遊ぶ、ボケ合う、お菓子作り,ダンス：主にHipHop(基本的になんでも踊れます！)ボーカル：バラードその他：声マネ、腹話術、イケメンボイス,f,1
101_yotsuyashinsuke,四谷 真佑,YOTSUYA SHINSUKE,20,O,176,55,歌、作詞＆作曲,抹茶アイスをたくさん食べる、お芝居,f,1
092_muratafuma,村田 風雅,MURATA FUMA,,,,,,,f,101
